symbol,entry_date,exit_date,entry_price,exit_price,direction,confidence,game_score,reason,pnl,equity,win
KO,2026-02-13T00:00:00,2026-02-20T00:00:00,78.98,78.89,LONG,0.6218083879955332,0.5,TIME_EXIT,-49.70414201183627,99950.29585798817,False
TMO,2026-02-16T00:00:00,2026-02-23T00:00:00,504.855,510.82,SHORT,0.6463048813386796,0.5,TIME_EXIT,-275.5929038283442,99674.70295415982,False
UNH,2026-04-08T00:00:00,2026-04-15T00:00:00,307.31,305.92,LONG,0.7010644665657717,0.5,TIME_EXIT,-110.08497393481369,99564.617980225,False
