symbol,entry_date,exit_date,pnl,reason,equity,win
ES,2026-04-01T09:30:00+00:00,2026-04-08T09:30:00+00:00,38.04724167115482,TIME_EXIT,100038.04724167116,True
NQ,2026-04-01T09:30:00+00:00,2026-04-08T09:30:00+00:00,49.0145138383736,TIME_EXIT,100087.06175550952,True
SILVER,2026-04-01T09:30:00+00:00,2026-04-08T09:30:00+00:00,-81.42605633802819,TIME_EXIT,100005.6356991715,False
SPY,2026-04-01T09:30:00+00:00,2026-04-08T09:30:00+00:00,38.04724167115482,TIME_EXIT,100043.68294084266,True
QQQ,2026-04-01T09:30:00+00:00,2026-04-08T09:30:00+00:00,49.0145138383736,TIME_EXIT,100092.69745468102,True
SLV,2026-04-01T09:30:00+00:00,2026-04-08T09:30:00+00:00,-81.42605633802819,TIME_EXIT,100011.271398343,False
SMCI,2026-04-01T09:30:00+00:00,2026-04-08T09:30:00+00:00,-9.885764499121251,TIME_EXIT,100001.38563384388,False
SOUN,2026-04-01T09:30:00+00:00,2026-04-08T09:30:00+00:00,-61.77325581395349,TIME_EXIT,99939.61237802992,False
META,2026-04-01T09:30:00+00:00,2026-04-08T09:30:00+00:00,3.31172000278878,TIME_EXIT,99942.92409803272,True
VTI,2026-04-01T14:00:00+00:00,2026-04-08T14:00:00+00:00,62.668597898825034,TIME_EXIT,100005.59269593154,True
AMD,2026-04-01T14:00:00+00:00,2026-04-08T14:00:00+00:00,191.39536811498107,TIME_EXIT,100196.98806404653,True
SMCI,2026-04-01T14:00:00+00:00,2026-04-08T14:00:00+00:00,-13.002115017089837,TIME_EXIT,100183.98594902943,False
ARM,2026-04-01T14:00:00+00:00,2026-04-08T14:00:00+00:00,-172.8713134833093,TIME_EXIT,100011.11463554612,False
GOOGL,2026-04-01T14:00:00+00:00,2026-04-08T14:00:00+00:00,165.68641811292485,TIME_EXIT,100176.80105365904,True
UNH,2026-04-01T14:00:00+00:00,2026-04-08T13:00:00+00:00,341.50982679877694,HARD_STOP,100518.31088045782,True
XBI,2026-04-01T14:00:00+00:00,2026-04-08T14:00:00+00:00,14.084620577521784,TIME_EXIT,100532.39550103534,True
IBB,2026-04-01T14:00:00+00:00,2026-04-08T14:00:00+00:00,-1.4620088370103426,TIME_EXIT,100530.93349219832,False
XLE,2026-04-01T14:00:00+00:00,2026-04-01T15:00:00+00:00,-692.1047493788762,TAKE_PROFIT_FULL,99838.82874281945,False
XOM,2026-04-01T14:00:00+00:00,2026-04-01T15:00:00+00:00,-871.2371939309298,TAKE_PROFIT_FULL,98967.59154888852,False
CVX,2026-04-01T14:00:00+00:00,2026-04-01T15:00:00+00:00,-860.7557178166678,TAKE_PROFIT_FULL,98106.83583107186,False
BAC,2026-04-01T14:00:00+00:00,2026-04-08T14:00:00+00:00,111.76293114725738,TIME_EXIT,98218.59876221912,True
GS,2026-04-01T14:00:00+00:00,2026-04-08T14:00:00+00:00,84.78485628600266,TIME_EXIT,98303.38361850512,True
PFE,2026-04-02T09:30:00+00:00,2026-04-07T13:00:00+00:00,-86.27231955983777,HARD_STOP,98217.11129894528,False
VNQ,2026-04-03T09:30:00+00:00,2026-04-10T09:30:00+00:00,69.94125132676372,TIME_EXIT,98287.05255027204,True
VNQ,2026-04-03T14:00:00+00:00,2026-04-10T13:00:00+00:00,69.37829492153415,HARD_STOP,98356.43084519358,True
VNQ,2026-04-06T09:30:00+00:00,2026-04-10T13:00:00+00:00,69.4272672701938,HARD_STOP,98425.85811246377,True
AAPL,2026-04-06T14:00:00+00:00,2026-04-07T13:00:00+00:00,-89.94225121127133,HARD_STOP,98335.9158612525,False
UNH,2026-04-06T14:00:00+00:00,2026-04-08T13:00:00+00:00,246.59730944107068,HARD_STOP,98582.51317069358,True
HYG,2026-04-07T09:30:00+00:00,2026-04-08T17:00:00+00:00,14.533808403458996,HARD_STOP,98597.04697909704,True
UNH,2026-04-07T09:30:00+00:00,2026-04-14T09:30:00+00:00,-24.556695399058544,TIME_EXIT,98572.49028369797,False
PFE,2026-04-07T09:30:00+00:00,2026-04-07T14:00:00+00:00,-341.75330334733087,TAKE_PROFIT_FULL,98230.73698035064,False
SILVER,2026-04-07T14:00:00+00:00,2026-04-07T15:00:00+00:00,-391.265025737734,TAKE_PROFIT_FULL,97839.4719546129,False
TLT,2026-04-07T14:00:00+00:00,2026-04-07T15:00:00+00:00,-100.08554696864766,TAKE_PROFIT_FULL,97739.38640764426,False
LQD,2026-04-07T14:00:00+00:00,2026-04-07T15:00:00+00:00,-86.00841048958242,TAKE_PROFIT_FULL,97653.37799715468,False
VGIT,2026-04-07T14:00:00+00:00,2026-04-07T15:00:00+00:00,-46.351903312712935,TAKE_PROFIT_FULL,97607.02609384197,False
SLV,2026-04-07T14:00:00+00:00,2026-04-07T15:00:00+00:00,-391.265025737734,TAKE_PROFIT_FULL,97215.76106810423,False
ARM,2026-04-07T14:00:00+00:00,2026-04-07T15:00:00+00:00,-981.0869058987201,TAKE_PROFIT_FULL,96234.67416220551,False
SOUN,2026-04-07T14:00:00+00:00,2026-04-07T15:00:00+00:00,-975.3471086286212,TAKE_PROFIT_FULL,95259.3270535769,False
AAPL,2026-04-07T14:00:00+00:00,2026-04-07T15:00:00+00:00,-649.8222866471422,TAKE_PROFIT_FULL,94609.50476692975,False
TSLA,2026-04-07T14:00:00+00:00,2026-04-07T15:00:00+00:00,-848.8485532166907,TAKE_PROFIT_FULL,93760.65621371305,False
JNJ,2026-04-07T14:00:00+00:00,2026-04-07T15:00:00+00:00,-332.0379564164775,TAKE_PROFIT_FULL,93428.61825729658,False
PFE,2026-04-07T14:00:00+00:00,2026-04-07T15:00:00+00:00,-595.0712734204104,TAKE_PROFIT_FULL,92833.54698387616,False
IBB,2026-04-07T14:00:00+00:00,2026-04-07T15:00:00+00:00,-267.24729565526064,TAKE_PROFIT_FULL,92566.2996882209,False
XLE,2026-04-07T14:00:00+00:00,2026-04-08T12:00:00+00:00,-74.24918965193534,HARD_STOP,92492.05049856896,False
XOM,2026-04-07T14:00:00+00:00,2026-04-08T13:00:00+00:00,-91.06366649410994,HARD_STOP,92400.98683207485,False
CVX,2026-04-07T14:00:00+00:00,2026-04-08T13:00:00+00:00,-92.70860072269846,HARD_STOP,92308.27823135215,False
VTI,2026-04-08T14:00:00+00:00,2026-04-15T14:00:00+00:00,18.68279324362245,TIME_EXIT,92326.96102459577,True
HYG,2026-04-08T14:00:00+00:00,2026-04-15T14:00:00+00:00,-5.469182008219006,TIME_EXIT,92321.49184258755,False
VGIT,2026-04-08T14:00:00+00:00,2026-04-15T14:00:00+00:00,-3.683026640898088,TIME_EXIT,92317.80881594666,False
AMD,2026-04-08T14:00:00+00:00,2026-04-10T19:00:00+00:00,171.7821963141791,HARD_STOP,92489.59101226083,True
XOM,2026-04-08T14:00:00+00:00,2026-04-08T15:00:00+00:00,-652.8214393897413,TAKE_PROFIT_FULL,91836.7695728711,False
CVX,2026-04-08T14:00:00+00:00,2026-04-08T15:00:00+00:00,-662.1872337482685,TAKE_PROFIT_FULL,91174.58233912283,False
XLF,2026-04-08T14:00:00+00:00,2026-04-15T14:00:00+00:00,-15.575836833520682,TIME_EXIT,91159.00650228931,False
JPM,2026-04-08T14:00:00+00:00,2026-04-15T14:00:00+00:00,25.830292580402233,TIME_EXIT,91184.83679486971,True
BAC,2026-04-08T14:00:00+00:00,2026-04-15T14:00:00+00:00,47.498434429725,TIME_EXIT,91232.33522929944,True
GS,2026-04-08T14:00:00+00:00,2026-04-15T14:00:00+00:00,28.392127291868615,TIME_EXIT,91260.7273565913,True
VNQ,2026-04-08T14:00:00+00:00,2026-04-15T14:00:00+00:00,25.21604230022014,TIME_EXIT,91285.94339889153,True
SPG,2026-04-08T14:00:00+00:00,2026-04-15T14:00:00+00:00,77.77584896071144,TIME_EXIT,91363.71924785223,True
PLTR,2026-04-09T14:00:00+00:00,2026-04-09T15:00:00+00:00,-1812.2242033278183,TAKE_PROFIT_FULL,89551.49504452442,False
AMZN,2026-04-09T14:00:00+00:00,2026-04-16T14:00:00+00:00,101.30069180057646,TIME_EXIT,89652.79573632499,True
JNJ,2026-04-09T14:00:00+00:00,2026-04-16T14:00:00+00:00,-39.86044617437475,TIME_EXIT,89612.9352901506,False
VNQ,2026-04-09T14:00:00+00:00,2026-04-16T14:00:00+00:00,12.349118626710125,TIME_EXIT,89625.28440877731,True
SPG,2026-04-09T14:00:00+00:00,2026-04-16T14:00:00+00:00,48.372584644792674,TIME_EXIT,89673.6569934221,True
