name,verdict,family,train_sharpe,full_sharpe,holdout_sharpe,n_trades,perm_p,dsr_prob,bh_survives,description
vixgate_deployed,NOT_SIGNIFICANT,regime,0.324,0.395,1.16,434,0.0066,1.0,True,Deployed HYP-027 VIX gate (per-pair thresholds) — re-validate vs ungated base
vixgate_15,NOT_SIGNIFICANT,regime,0.342,0.384,1.06,352,0.0066,1.0,True,Suppress in bull + VIX>15 (uniform)
vixgate_20,NOT_SIGNIFICANT,regime,0.33,0.363,0.911,499,0.0066,1.0,True,Suppress in bull + VIX>20 (uniform)
vixgate_22,NOT_SIGNIFICANT,regime,0.335,0.34,0.755,519,0.0066,1.0,True,Suppress in bull + VIX>22 (uniform)
vixgate_18,NOT_SIGNIFICANT,regime,0.325,0.338,0.916,440,0.0132,1.0,True,Suppress in bull + VIX>18 (uniform)
bear_only,NOT_SIGNIFICANT,regime,0.362,0.317,6.909,144,0.0066,1.0,True,Trade carry only when SPY<200SMA
carry_widening,SCREENED_OUT,regime,0.199,0.0,0.0,182,,,,Trade only when the rate differential is widening in the signal's direction
bull_only,SCREENED_OUT,regime,0.185,0.0,0.0,313,,,,Trade carry only when SPY>200SMA
lowvix_only,SCREENED_OUT,regime,0.074,0.0,0.0,277,,,,Trade carry only when VIX<20
