,R
2015-02-27,-0.004753240914535507
2015-03-31,0.025965782816744894
2015-04-30,-0.030094795550945637
2015-05-29,0.02481527256794237
2015-06-30,-0.016737000692928883
2015-07-31,0.019814969370326316
2015-08-31,-0.005066453874845147
2015-09-30,0.00452370700760769
2015-10-30,0.00044070251357436734
2015-11-30,0.015107102739322939
2015-12-31,-0.01393316970825582
2016-01-29,0.010829583184922154
2016-02-29,0.024776689348207717
2016-03-31,-0.015712206598165537
2016-04-29,0.004326267495863063
2016-05-31,-0.001172034204374622
2016-06-30,0.030857838940744394
2016-07-29,-0.0016942712512300166
2016-08-31,0.005583178751879715
2016-09-30,0.0057551437889311555
2016-10-31,0.008513942023065388
2016-11-30,-0.03690952050082347
2016-12-30,-0.010836106579180969
2017-01-31,0.009192891069306035
2017-02-28,0.006449794312911417
2017-03-31,-0.0030832425081415414
2017-04-28,-0.007886071264760534
2017-05-31,-0.008713033657165711
2017-06-30,0.0005065138870027665
2017-07-31,0.014310751465753634
2017-08-31,-0.005580994396677588
2017-09-29,-0.013761111095628003
2017-10-31,-0.014730526525297482
2017-11-30,0.0006325094271218083
2017-12-29,0.009026721924345178
2018-01-31,0.05635071392424757
2018-02-28,-0.0230619650829477
2018-03-30,0.0008095425195392674
2018-04-30,-0.024626448140988598
2018-05-31,-0.026125179553188757
2018-06-29,-0.025603045323715518
2018-07-31,-0.0014446454861312577
2018-08-31,0.0033035935965398493
2018-09-28,0.00942516061176022
2018-10-31,0.021539602405772136
2018-11-30,-0.01453114293286515
2018-12-31,0.02205551987407293
2019-01-31,-0.015471489310584199
2019-02-28,0.010134692601203135
2019-03-29,0.013420437971209473
2019-04-30,0.010265337021215765
2019-05-31,0.007465795294216749
2019-06-28,-0.010721194820716911
2019-07-31,0.02573095461104484
2019-08-30,0.01956038028207523
2019-09-30,-0.003969707918385802
2019-10-31,-0.03513417195174225
2019-11-29,0.009944975101530215
2019-12-31,-0.01620079572976718
2020-01-31,0.023905077168545646
2020-02-28,-0.00020032216137412864
2020-03-31,0.04031638520038943
2020-04-30,-0.006228570734584389
2020-05-29,-0.007865077046319077
2020-06-30,-0.011037502692830478
2020-07-31,-0.03212784578100421
2020-08-31,0.005994559018203703
2020-09-30,-0.021619270279503576
2020-10-30,-0.0013525549956257279
2020-11-30,0.029782193087355288
2020-12-31,0.027704720080690304
2021-01-29,-0.010927198534319452
2021-02-26,0.0036842719736869707
2021-03-31,-0.014354232738181415
2021-04-30,0.016709136017405764
2021-05-31,0.008344807639916983
2021-06-30,-0.02353549495342635
2021-07-30,-0.008161583719993972
2021-08-31,-0.012433643414149768
2021-09-30,0.0021552522553798794
2021-10-29,-0.0015589233632391144
2021-11-30,-0.013034867979969429
2021-12-31,0.002546024116801721
2022-01-31,0.020144208276621417
2022-02-28,-0.008107340049220185
2022-03-31,0.01998276479966372
2022-04-29,0.0770893868905099
2022-05-31,-0.02401845077552489
2022-06-30,0.04980359088308213
2022-07-29,-0.0014334001131566534
2022-08-31,0.028427525545712547
2022-09-30,0.03631717390788838
2022-10-31,-0.0010762717102613738
2022-11-30,-0.035014875078982835
2022-12-30,-0.018300573156456022
2023-01-31,-0.018813341128017268
2023-02-28,0.027344260100475477
2023-03-31,-0.015606440408990743
2023-04-28,0.004477560258174479
2023-05-31,0.003768088264159449
2023-06-30,0.0120833474885502
2023-07-31,0.0017166985502985034
2023-08-31,0.008959524215047567
2023-09-29,-0.01742239047291819
2023-10-31,-0.0027126019195914007
2023-11-30,0.012860134713926809
2023-12-29,-0.014995268070282267
2024-01-31,0.011267947351862784
2024-02-29,0.00908613847060524
2024-03-29,-0.0023289103620828177
2024-04-30,0.009492370153733758
2024-05-31,-0.0004082580086927829
2024-06-28,-0.0025314597564983494
2024-07-31,-0.02068102734092086
2024-08-30,-0.0012780666842559345
2024-09-30,0.015953181716978165
2024-10-31,-0.05810566395600117
2024-11-29,-0.027939063264088272
2024-12-31,0.02200136892220496
