feature,ic,p_value,icir,is_real,passes_alpha
atr_14,0.02859285707459296,0.05878632108134799,0.4759850162413296,False,False
volume_zscore,0.03810939219990416,0.011763366342809297,0.3347646578987045,False,False
logistic_acceleration,0.0271487685933874,0.07276407010184072,0.27645977906325253,False,False
ofi_decay,0.023785162961339035,0.11596586108883143,0.26972266846567733,False,False
momentum_12_1,-0.010649656159186777,0.4815922849966251,0.1882669622827545,False,False
rsi_divergence,0.02897109257538468,0.05551837963774705,0.1607276812974411,False,False
csd_variance_vel,0.005408156007330735,0.7208141990879937,0.08604086448552727,False,False
csd_recovery,0.020920120536847307,0.16680523670095454,0.04289141948207406,False,False
csd_ar1,0.010659017092705309,0.4812070506347221,-0.011476708669593617,False,False
hurst_90,0.011459391621445932,0.4488966827194425,-0.036462653157605815,False,False
hurst_velocity,-0.008750495051153578,0.5631025097030945,-0.06429998300986026,False,False
csd_score,-0.003452528493252682,0.819535827232735,-0.06486506754637586,False,False
hurst_60,0.004856519305298294,0.7482723440738765,-0.0748577192404804,False,False
roc_5,0.0034068619555798303,0.8218825149875002,-0.09304013095091193,False,False
volume_entropy,-0.02163735116589603,0.1527305974485449,-0.09421802080042013,False,False
logistic_k,-0.01986869216360226,0.18916852539606607,-0.1336837183150473,False,False
roc_10,0.004351216601916524,0.7737083958364765,-0.15786645333618768,False,False
adx_zscore,0.006680225940725026,0.6589010760785242,-0.1983146036844736,False,False
adx_14,-0.0018542809173155573,0.9024792431985549,-0.25171297962459194,False,False
rsi_14,-0.007842876693350665,0.6042759542251022,-0.3230132520531131,False,False
